,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),,path  length,num frames,hand speed (nm/s),hand length (um)
0,0,22,29.2740023,1.345231977,22.59090909,69.5,-1.048308436,3,48.5010084,0.935166582,0.794997008,2.287221856,,3.175,49,64.79591837,2.206
3,3,31,43.4440949,1.429146687,37.32258065,443,-0.967215521,6,52.83042017,0.976207709,0.898563251,4.15898114,,3.425,49,69.89795918,3.646
4,4,21,25.16195227,1.91922233,45,73.9047619,0.27513268,8,47.22537815,0.982301253,0.986686826,2.264910642,,2.234,49,45.59183673,2.19
5,5,37,42.81420692,1.622050778,55,178.1621622,0.070397708,9,79.62701243,0.946496406,0.701686474,3.807145569,,2.543,38,66.92105263,3.865
7,7,32,36.9717732,1.01266314,71.5,314.5625,0.046189558,13,70.56071429,0.846335228,0.840947363,2.647039856,,3.717,50,74.34,2.478
9,9,25,36.13900061,1.460354496,76,49,0.647192238,15,78.87820513,0.945691391,0.970227024,2.118402377,,1.897,26,72.96153846,3.478
10,10,22,22.91876959,6.946269632,69.40909091,351.1818182,1.337779318,18,22.63663866,0.964334954,0.934275233,2.151602231,,1.671,29,57.62068966,2.125
11,11,34,39.4250005,1.339366617,84.5,301.1470588,-0.096223825,19,61.3307563,0.9474542,0.700362455,3.797805019,,2.869,50,57.38,3.709
12,12,28,43.14807631,1.435213328,86.78571429,335.0357143,0.787894741,21,34.6507563,0.989286413,0.936135833,4.015865781,,2.467,50,49.34,4.366
13,13,32,46.63249988,3.769194884,91.90625,75.3125,0.860687132,23,38.58588235,0.836244932,0.839012916,5.391714562,,2.166,50,43.32,4.863
18,18,36,42.74327907,3.002015073,144.5,440.3333333,0.23712647,38,80.27193277,0.935247886,0.962366566,3.058986299,,3.697,50,73.94,2.846
19,19,17,23.47250259,1.252027804,144.0588235,396.5882353,0.61161533,41,12.53596639,0.96392296,0.017058413,2.875321538,,0.763,50,15.26,3.286
20,20,26,32.20729537,1.535826826,143.9615385,354.5,-1.197976713,42,42.03008403,0.968985536,0.829417427,3.022573919,,2.185,50,43.7,2.84
22,22,41,37.20432882,10.95313521,165.9268293,246.7560976,0.421452991,46,42.86504202,0.875533504,0.762774287,3.610005763,,2.861,50,57.22,3.912
24,24,22,33.8193867,1.128661504,171.5454545,104.0454545,-0.735503375,48,44.81714286,0.91243423,0.875565233,3.490402143,,2.429,50,48.58,3.302
26,26,14,19.17700648,1.276784127,197.5,194.1428571,-0.573422225,54,53.66666667,0.973168215,0.928002011,2.533049471,,1.484,18,82.44444444,2.338
27,27,50,43.74870676,8.16565102,213.28,410.18,-0.731358334,55,53.10137772,0.846985792,0.407749971,3.010619078,,2.4,50,48,3.353
28,28,33,40.56967532,1.282957933,211.7575758,20,-1.219004095,56,37.15563025,0.858565006,0.774182139,5.143870808,,2.472,50,49.44,5.063
29,29,17,19.63903687,1.514724395,206.5294118,257,1.504320171,57,25.88369748,0.965466553,0.844170749,1.912506741,,1.718,50,34.36,1.717
38,38,27,31.13262482,5.227315734,318.1851852,35.7037037,0.904016247,84,49.56341868,0.954252033,0.875721218,2.610803299,,2.213,32,69.15625,2.885
41,41,23,33.1563607,2.561489312,357.2608696,378.173913,-0.877869811,93,41.86,0.980025146,0.979161795,2.353379802,,2.736,50,54.72,2.441
42,42,32,37.49212494,1.204135478,371.5,214.15625,0.173105904,96,62.21210084,0.995628099,0.957773673,2.845403807,,3.528,50,70.56,2.838
44,45,21,27.67337913,1.177243181,375.047619,131,1.065457492,100,26.84235294,0.878763983,0.748536316,3.476259863,,1.399,50,27.98,3.231
46,47,24,30.97017542,1.389808548,380.375,102.5,1.105790617,102,34.77058824,0.8408527,0.805653733,2.165532341,,1.874,50,37.48,2.77
47,48,24,28.52217626,1.21879506,389.5,328.25,-0.242563981,104,32.94605042,0.891103559,0.818324272,2.336578081,,2.054,50,41.08,2.515
49,50,27,31.35634257,1.702277965,407,297.1851852,0.113404458,108,75.2389916,0.933558898,0.951440462,2.648637657,,2.763,50,55.26,2.596
50,51,23,33.66138741,1.061366357,405.6086957,447.0434783,0.894257338,110,30.85092437,0.967635639,0.879213391,3.627620714,,2.265,50,45.3,3.361
51,52,26,25.12258296,4.976057771,412,188.0769231,-0.117793745,111,30.20537815,0.960431386,0.953501628,2.853430541,,1.992,50,39.84,2.75
56,57,20,26.06419985,2.111276007,447.5,355.75,-0.486177587,120,48.88369748,0.895294408,0.88540875,2.283371299,,2.192,50,43.84,2.088
57,58,21,22.36948033,6.542794806,450.7142857,281.6666667,-0.739027347,121,33.25921053,0.980446814,0.969664748,1.450564367,,1.98,50,39.6,1.371
58,59,25,28.92201932,2.728808977,468,34.88,-0.073603663,124,51.99361702,0.982174785,0.973878148,2.045154211,,2.656,41,64.7804878,1.832