Species,parent,child,variant
ADP,1_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_1,0uMADP
ADP,1_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_1,100uMADP_1
ADP,1_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_1,200uMADP_1
ADP,1_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_1,300uMADP
ADP,1_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_1,470uMADP_1
ADP,1_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_1,800uMADP
ADP,1_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_1,1000uMADP_1
ADP,1_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_1,1420uMADP_1
ADP,1_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_1,5000uMADP
ADP,1_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_300ms480_100uATP_1uMmicro_1400nM_A81D_1,0uMADP
ADP,1_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_300ms480_100uATP_1uMmicro_1400nM_A81D_1,100uMADP
ADP,1_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_300ms480_100uATP_1uMmicro_1400nM_A81D_1,200uMADP
ADP,1_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_300ms480_100uATP_1uMmicro_1400nM_A81D_1,300uMADP
ADP,1_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_300ms480_100uATP_1uMmicro_1400nM_A81D_1,470uMADP
ADP,1_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_300ms480_100uATP_1uMmicro_1400nM_A81D_1,800uMADP
ADP,1_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_300ms480_100uATP_1uMmicro_1400nM_A81D_1,1000uMADP
ADP,1_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_300ms480_100uATP_1uMmicro_1400nM_A81D_1,1420uMADP
ADP,1_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_300ms480_100uATP_1uMmicro_1400nM_A81D_1,5000uMADP
ADP,1_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_1,0uMADP
ADP,1_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_1,100uMADP_1
ADP,1_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_1,200uMADP_1
ADP,1_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_1,300uMADP_500uMATP_1
ADP,1_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_1,470uMADP_1
ADP,1_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_1,800uMADP_500uMATP_1
ADP,1_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_1,1000uMADP_1
ADP,1_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_1,1420uMADP_1
ADP,1_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_1,5000uMADP
ADP,1_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_1,0uMADP
ADP,1_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_1,100uMADP_1
ADP,1_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_1,200uMADP_1
ADP,1_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_1,300uMADP
ADP,1_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_1,470uMADP_1
ADP,1_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_1,800uMADP
ADP,1_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_1,1000uMADP_1
ADP,1_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_1,1420uMADP_1
ADP,1_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_1,5000uMADP
ADP,2_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_2,0uMADP_2
ADP,2_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_2,100uMADP_2
ADP,2_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_2,200uMADP_2
ADP,2_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_2,300uMADP_2
ADP,2_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_2,470uMADP_2
ADP,2_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_2,800uMADP_2
ADP,2_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_2,1000uMADP_2
ADP,2_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_2,1420uMADP_2
ADP,2_ADP_variation_at_100uMATP,,100uMADP_2
ADP,2_ADP_variation_at_100uMATP,,200uMADP_2
ADP,2_ADP_variation_at_100uMATP,,300uMADP_2
ADP,2_ADP_variation_at_100uMATP,,470uMADP_2
ADP,2_ADP_variation_at_100uMATP,,800uMADP_2
ADP,2_ADP_variation_at_100uMATP,,1000uMADP_2
ADP,2_ADP_variation_at_100uMATP,,1420uMADP_2
ADP,2_ADP_variation_at_100uMATP,,5000uMADP
ADP,2_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,100uMADP_2
ADP,2_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,200uMADP_2
ADP,2_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,300uMADP
ADP,2_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,470uMADP_2
ADP,2_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,800uMADP
ADP,2_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,1000uMADP_2
ADP,2_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,1420uMADP_2
ADP,2_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,5000uMADP_500uMATP_1
ADP,2_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_2,100uMADP_2
ADP,2_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_2,200uMADP_2
ADP,2_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_2,470uMADP_2
ADP,2_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_2,1000uMADP_2
ADP,2_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_2,1420uMADP_2
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,0uMADP
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,100uMADP
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,200uMADP
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,300uMADP
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,470uMADP
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,800uMADP
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,1000uMADP
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,1420uMADP
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,5000uMADP
ADP,3_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uMATP_1uMmicro_1400nM_A81D_1,0uMADP
ADP,3_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uMATP_1uMmicro_1400nM_A81D_1,100uMADP_1
ADP,3_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uMATP_1uMmicro_1400nM_A81D_1,200uMADP_1
ADP,3_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uMATP_1uMmicro_1400nM_A81D_1,300uMADP
ADP,3_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uMATP_1uMmicro_1400nM_A81D_1,470uMADP_1
ADP,3_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uMATP_1uMmicro_1400nM_A81D_1,800uMADP
ADP,3_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uMATP_1uMmicro_1400nM_A81D_1,1000uMADP_1
ADP,3_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uMATP_1uMmicro_1400nM_A81D_1,1420uMADP_1
ADP,3_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uMATP_1uMmicro_1400nM_A81D_1,5000uMADP
ADP,3_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_500uATP_1uMmicro_1400nM_A81D_1,0uMADP
ADP,3_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_500uATP_1uMmicro_1400nM_A81D_1,100uMADP
ADP,3_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_500uATP_1uMmicro_1400nM_A81D_1,200uMADP
ADP,3_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_500uATP_1uMmicro_1400nM_A81D_1,300uMADP
ADP,3_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_500uATP_1uMmicro_1400nM_A81D_1,470uMADP
ADP,3_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_500uATP_1uMmicro_1400nM_A81D_1,800uMADP
ADP,3_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_500uATP_1uMmicro_1400nM_A81D_1,1000uMADP
ADP,3_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_500uATP_1uMmicro_1400nM_A81D_1,1420uMADP
ADP,3_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_500uATP_1uMmicro_1400nM_A81D_1,5000uMADP
ADP,4_ADP_variation_at_500uMATP,,300uMADP_500uMATP_2
ADP,4_ADP_variation_at_500uMATP,,800uMADP_500uMATP_2
ATP,1_variation of ATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1uMmicro_1400nM_A81D_2,0uMATP
ATP,1_variation of ATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1uMmicro_1400nM_A81D_2,50uMATP
ATP,1_variation of ATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1uMmicro_1400nM_A81D_2,100uMATP_1
ATP,1_variation of ATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1uMmicro_1400nM_A81D_2,200uMATP_1
ATP,1_variation of ATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1uMmicro_1400nM_A81D_2,300uMATP_1
ATP,1_variation of ATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1uMmicro_1400nM_A81D_2,470uMATP_1
ATP,1_variation of ATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1uMmicro_1400nM_A81D_2,800uMATP_1
ATP,1_variation of ATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1uMmicro_1400nM_A81D_2,1000uMATP_1
ATP,1_variation of ATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1uMmicro_1400nM_A81D_2,1420uMADP_1
ATP,2_variation of ATP,,50uMATP_2
ATP,2_variation of ATP,,100uMATP_2
ATP,2_variation of ATP,,200uMATP_2
ATP,2_variation of ATP,,300uMATP_2
ATP,2_variation of ATP,,470uMATP_2
ATP,2_variation of ATP,,800uMATP_2
ATP,2_variation of ATP,,1000uMADP_2
ATP,2_variation of ATP,,1420uMATP_2
Phosphate,1_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,0mMPi_1
Phosphate,1_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,5mMPi_1
Phosphate,1_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,10mMPi_1
Phosphate,1_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,20mMPi_1
Phosphate,1_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,30mMPi_1
Phosphate,1_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,40mMPi_1
Phosphate,1_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_1,0mMPi_2
Phosphate,1_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_1,5mMPi_2
Phosphate,1_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_1,10mMPi_2
Phosphate,1_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_1,20mMPi_2
Phosphate,1_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_1,30mMPi_2
Phosphate,1_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_1,40mMPi_2
Phosphate,1_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_1,0mMPi_1
Phosphate,1_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_1,5mMPi_1
Phosphate,1_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_1,10mMPi_1
Phosphate,1_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_1,20mMPi_1
Phosphate,1_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_1,30mMPi_1
Phosphate,1_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_1,40mMPi_1
Phosphate,1_phophate_variation_at_1420uMATP,,0mMPi_1420uMATP_1
Phosphate,1_phophate_variation_at_1420uMATP,,5mMPi_1420uMATP_1
Phosphate,1_phophate_variation_at_1420uMATP,,10mMPi_1420uMATP_1
Phosphate,1_phophate_variation_at_1420uMATP,,20mMPi_1420uMATP_1
Phosphate,1_phophate_variation_at_1420uMATP,,30mMPi_1420uMATP_1
Phosphate,1_phophate_variation_at_1420uMATP,,40mMPi_1420uMATP_1
Phosphate,2_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_2,0mMPi_2
Phosphate,2_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_2,5mMPi_2
Phosphate,2_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_2,10mMPi_2
Phosphate,2_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_2,20mMPi_2
Phosphate,2_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_2,30mMPi_2
Phosphate,2_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_2,40mMPi_2
Phosphate,2_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_2,0mMPi_1
Phosphate,2_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_2,5mMPi_1
Phosphate,2_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_2,10mMPi_1
Phosphate,2_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_2,20mMPi_1
Phosphate,2_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_2,30mMPi_1
Phosphate,2_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_2,40mMPi_1
Phosphate,2_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,0mMPi_2
Phosphate,2_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,5mMPi_2
Phosphate,2_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,10mMPi_2
Phosphate,2_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,20mMPi_2
Phosphate,2_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,30mMPi_2
Phosphate,2_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,40mMPi_2
Phosphate,2_phophate_variation_at_1420uMATP,,0mMPi_1420uMATP_2
Phosphate,2_phophate_variation_at_1420uMATP,,5mMPi_1420uMATP_2
Phosphate,2_phophate_variation_at_1420uMATP,,10mMPi_1420uMATP_2
Phosphate,2_phophate_variation_at_1420uMATP,,20mMPi_1420uMATP_2
Phosphate,2_phophate_variation_at_1420uMATP,,30mMPi_1420uMATP_2
Phosphate,2_phophate_variation_at_1420uMATP,,40mMPi_1420uMATP_2
Phosphate,3_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_1,0mMPi_1
Phosphate,3_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_1,5mMPi_1
Phosphate,3_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_1,10mMPi_1
Phosphate,3_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_1,20mMPi_1
Phosphate,3_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_1,30mMPi_1
Phosphate,3_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_1,40mMPi_1
Phosphate,3_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_1,0mMPi_1
Phosphate,3_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_1,5mMPi_1
Phosphate,3_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_1,10mMPi_1
Phosphate,3_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_1,20mMPi_1
Phosphate,3_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_1,30mMPi_1
Phosphate,3_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_1,40mMPi_1
Phosphate,4_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_2,0mMPi_2
Phosphate,4_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_2,5mMPi_2
Phosphate,4_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_2,10mMPi_2
Phosphate,4_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_2,20mMPi_2
Phosphate,4_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_2,30mMPi_2
Phosphate,4_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_2,40mMPi_2
Phosphate,4_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_2,0mMPi_2
Phosphate,4_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_2,5mMPi_2
Phosphate,4_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_2,10mMPi_2
Phosphate,4_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_2,20mMPi_2
Phosphate,4_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_2,30mMPi_2
Phosphate,4_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_2,40mMPi_2